	IsDog	Age	HasName	NameLength	NameFreq	MixColor	ColorFreqAsIs	ColorFreqBase	TabbyColor	MixBreed	Domestic	Shorthair	Longhair	Year	Month	Day	Hour	Breed_Chihuahua Shorthair Mix	Breed_Domestic Medium Hair Mix	Breed_Domestic Shorthair Mix	Breed_German Shepherd Mix	Breed_Labrador Retriever Mix	Breed_Pit Bull Mix	Breed_Rare	Sex_Female	Sex_Male	Sex_Unknown	SexStatus_Flawed	SexStatus_Intact	SexStatus_Unknown	Weekday_0	Weekday_1	Weekday_2	Weekday_3	Weekday_4	Weekday_5	Weekday_6
39	0	21.0	0	7	0.2858714154772817	0	0.0617781851512374	0.1645218529812049	1	1	1	1	0	2015	7	14	9.266666666666667	0	0	1	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0
40	0	2555.0	1	5	5.23765876653136e-05	0	0.01613198900091659	0.058418178372697985	1	1	1	1	0	2015	4	4	14.433333333333334	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0
41	0	60.0	0	7	0.2858714154772817	0	0.031085504779363626	0.034713249608076216	1	1	1	1	0	2015	6	23	10.416666666666666	0	0	1	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0
42	0	60.0	1	4	0.0033521016105800706	0	0.0617781851512374	0.1645218529812049	1	1	1	1	0	2013	12	9	11.066666666666666	0	0	1	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0
43	0	1460.0	0	7	0.2858714154772817	1	0.10587927196543145	0.4983720088893483	0	1	1	0	1	2014	1	21	11.25	0	0	0	0	0	0	1	0	1	0	0	1	0	0	1	0	0	0	0	0
44	0	730.0	1	3	7.85648814979704e-05	1	0.10587927196543145	0.4983720088893483	0	1	1	1	0	2014	5	28	11.866666666666667	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0
45	1	4380.0	1	7	0.0006808956396490769	0	0.02794290951944481	0.022137233621031233	0	0	0	0	0	2014	8	27	3.8333333333333335	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	1	0	0	0	0
46	0	3285.0	1	5	0.0038758674872332068	1	0.02474793767186068	0.4983720088893483	0	1	1	1	0	2014	8	5	7.25	0	0	1	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0
47	0	21.0	0	7	0.2858714154772817	0	0.08550477936362445	0.19926955742760177	0	1	1	1	0	2015	5	5	8.766666666666667	0	0	1	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0
48	1	150.0	1	5	0.0001571297629959408	1	0.016341495351577844	0.3637914104088067	0	1	0	0	0	2015	3	9	14.95	0	0	0	1	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0
49	1	2190.0	0	7	0.2858714154772817	1	0.008406442320282833	0.3118679690595552	0	0	0	0	0	2013	10	30	11.616666666666667	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	1	0	0	0	0
50	0	365.0	0	7	0.2858714154772817	0	0.02016498625114574	0.015125674022774649	0	1	1	1	0	2014	7	28	5.0	0	0	1	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0
51	0	90.0	1	4	5.23765876653136e-05	0	0.0617781851512374	0.1645218529812049	1	1	1	1	0	2015	10	19	15.966666666666667	0	0	1	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0
52	0	21.0	0	7	0.2858714154772817	1	0.008799266727772686	0.3575206298344445	1	1	1	1	0	2014	6	26	13.266666666666667	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0
53	1	730.0	1	4	0.00018331805682859762	1	0.0034306664920780413	0.30864644167657246	0	1	0	0	0	2015	5	14	9.116666666666667	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	1	0	0	0
54	0	60.0	1	4	0.0002095063506612544	1	0.016472436820741128	0.3338157010698227	1	1	1	1	0	2014	11	18	13.083333333333334	0	0	1	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0
55	0	7.0	0	7	0.2858714154772817	0	0.08550477936362445	0.19926955742760177	0	1	1	1	0	2015	10	4	12.033333333333333	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1
56	0	60.0	1	7	0.00013094146916328402	0	0.01859368862118633	0.013816390166589143	0	1	1	1	0	2015	8	16	10.866666666666667	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1
57	1	365.0	0	7	0.2858714154772817	0	0.02383134738771769	0.07535273140730787	0	1	0	1	0	2014	7	18	12.383333333333333	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0
58	1	1460.0	1	4	0.0023045698572737986	1	0.006651826633494828	0.27462228883490963	0	1	0	0	0	2014	9	16	10.083333333333334	0	0	0	0	0	0	1	1	0	0	1	0	0	0	1	0	0	0	0	0
59	1	730.0	1	5	0.0012570381039675265	1	0.0329186853476496	0.46362430444295144	0	0	0	0	0	2014	7	7	8.633333333333333	0	0	0	0	0	0	1	0	1	0	1	0	0	1	0	0	0	0	0	0
60	0	365.0	1	11	2.61882938326568e-05	1	0.016472436820741128	0.3338157010698227	1	1	1	1	0	2015	8	19	10.533333333333333	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0
61	1	4015.0	1	12	2.61882938326568e-05	1	0.012910828859499804	0.3637914104088067	0	1	0	0	0	2014	5	9	14.116666666666667	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	1	0	0
62	0	30.0	1	5	0.00036663611365719525	0	0.08550477936362445	0.19926955742760177	0	1	1	1	0	2015	10	6	12.116666666666667	0	0	1	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0
63	1	730.0	1	5	0.0051067172973680765	1	0.029173759329579677	0.3744551828690544	0	1	0	0	0	2015	9	23	8.75	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	1	0	0	0	0
64	0	14.0	0	7	0.2858714154772817	0	0.08550477936362445	0.19926955742760177	0	1	1	1	0	2014	7	17	13.516666666666667	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0
65	1	2190.0	1	8	0.0006023307581511064	0	0.03490899567893152	0.2991024514617465	0	1	0	0	0	2015	10	27	15.533333333333333	0	0	0	0	0	0	1	1	0	0	1	0	0	0	1	0	0	0	0	0
66	1	180.0	1	4	0.00023569464449391123	1	0.10587927196543145	0.4983720088893483	0	1	0	0	0	2014	12	8	12.883333333333333	0	0	0	0	0	0	1	0	1	0	1	0	0	1	0	0	0	0	0	0
67	1	60.0	1	5	0.0021474400942778577	0	0.006782768102658112	0.007580064430547659	0	0	0	0	0	2015	9	8	12.516666666666667	0	0	0	0	0	0	1	1	0	0	0	1	0	0	1	0	0	0	0	0
68	0	60.0	0	7	0.2858714154772817	1	0.03490899567893152	0.46362430444295144	1	1	1	1	0	2015	6	16	6.0	0	0	1	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0
69	1	365.0	1	5	0.0051067172973680765	0	0.012308498101348698	0.02406670456698882	0	1	0	1	0	2014	5	10	14.3	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0
70	1	60.0	1	5	7.85648814979704e-05	0	0.02343852298022784	0.1645218529812049	0	1	0	0	0	2014	4	30	13.916666666666666	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	1	0	0	0	0
71	1	730.0	1	8	2.61882938326568e-05	1	0.017310462223386145	0.46362430444295144	0	1	0	0	0	2016	1	29	11.883333333333333	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	1	0	0
72	1	1095.0	0	7	0.2858714154772817	0	0.03490899567893152	0.2991024514617465	0	0	0	0	0	2014	3	25	14.25	0	0	0	0	0	0	1	1	0	0	1	0	0	0	1	0	0	0	0	0
73	0	365.0	1	7	0.00018331805682859762	0	0.08550477936362445	0.19926955742760177	0	1	1	1	0	2015	8	18	8.533333333333333	0	0	1	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0
74	1	1460.0	1	7	5.23765876653136e-05	1	0.0011260966348042424	0.13377090978000586	0	1	0	0	0	2013	12	28	12.283333333333333	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	1	0
75	1	730.0	1	4	0.0012308498101348698	0	0.02383134738771769	0.07535273140730787	0	0	0	1	0	2015	8	19	11.466666666666667	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	1	0	0	0	0
76	0	90.0	1	3	2.61882938326568e-05	0	0.0617781851512374	0.1645218529812049	1	0	1	0	1	2014	6	22	13.366666666666667	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	1
77	0	365.0	0	7	0.2858714154772817	0	0.01859368862118633	0.013816390166589143	0	1	1	1	0	2014	3	21	13.15	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0
78	1	60.0	1	4	0.0015712976299594081	0	0.08550477936362445	0.19926955742760177	0	0	0	0	0	2015	6	7	13.116666666666667	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	1
79	0	730.0	0	7	0.2858714154772817	1	0.10587927196543145	0.4983720088893483	0	1	1	1	0	2015	12	20	16.633333333333333	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1
80	1	365.0	1	7	0.0042686918947230585	0	0.03490899567893152	0.2991024514617465	0	0	0	1	0	2015	12	17	9.166666666666666	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	1	0	0	0
81	0	14.0	0	7	0.2858714154772817	0	0.01613198900091659	0.058418178372697985	1	1	1	1	0	2015	9	22	9.166666666666666	0	0	1	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0
82	0	28.0	1	4	0.00034044781982453846	0	0.005342411941861988	0.004065670921839199	0	1	0	0	0	2015	5	30	15.933333333333334	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	1	0
83	0	730.0	0	7	0.2858714154772817	0	0.01613198900091659	0.058418178372697985	1	1	1	1	0	2015	10	12	6.0	0	0	1	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0
84	1	4380.0	1	7	2.61882938326568e-05	0	0.009087337959931911	0.1645218529812049	0	1	0	0	0	2015	2	9	14.283333333333333	0	0	0	0	0	1	0	0	1	0	1	0	0	1	0	0	0	0	0	0
85	1	365.0	0	7	0.2858714154772817	1	0.0329186853476496	0.46362430444295144	0	0	0	0	0	2014	9	14	14.85	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	1
86	0	60.0	1	6	0.00034044781982453846	0	0.08550477936362445	0.19926955742760177	0	1	1	1	0	2015	7	18	12.616666666666667	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0
87	0	14.0	0	7	0.2858714154772817	0	0.08550477936362445	0.19926955742760177	0	1	1	1	0	2015	7	14	12.066666666666666	0	0	1	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0
88	1	90.0	0	7	0.2858714154772817	1	0.10587927196543145	0.4983720088893483	0	1	0	0	0	2014	4	26	14.0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	1	0
89	0	90.0	0	7	0.2858714154772817	0	0.01859368862118633	0.013816390166589143	0	1	1	0	0	2013	11	18	11.933333333333334	0	1	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0
90	1	150.0	1	7	5.23765876653136e-05	1	0.017310462223386145	0.46362430444295144	0	1	0	0	0	2015	12	15	11.266666666666667	0	0	0	0	0	0	1	0	1	0	1	0	0	0	1	0	0	0	0	0
91	1	1095.0	1	5	0.0015189210422940946	0	0.08550477936362445	0.19926955742760177	0	0	0	0	0	2016	2	7	11.9	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	1
92	1	2555.0	1	7	0.00047138928898782245	1	0.02474793767186068	0.4983720088893483	0	0	0	0	0	2014	4	10	7.816666666666666	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	1	0	0	0
93	1	730.0	1	4	0.00023569464449391123	1	0.025821657718999608	0.27462228883490963	0	1	0	0	0	2015	2	6	15.933333333333334	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0
94	0	120.0	1	6	0.0001571297629959408	0	0.08550477936362445	0.19926955742760177	0	1	1	1	0	2014	12	29	12.183333333333334	0	0	1	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0
95	1	3285.0	1	5	0.00018331805682859762	1	0.020191174544978395	0.46362430444295144	0	0	0	0	0	2015	11	15	11.1	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	1
96	1	210.0	1	3	0.0003142595259918816	1	0.10587927196543145	0.4983720088893483	0	1	0	0	0	2015	12	6	12.2	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	1
97	0	60.0	0	7	0.2858714154772817	1	0.10587927196543145	0.4983720088893483	0	1	1	1	0	2014	7	14	15.466666666666667	0	0	1	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0
98	0	1095.0	0	7	0.2858714154772817	1	0.10587927196543145	0.4983720088893483	0	1	1	1	0	2014	10	24	5.0	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0
99	1	1095.0	0	7	0.2858714154772817	0	0.0030902186722535025	0.009543990214825916	0	1	0	0	0	2015	1	14	13.3	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	1	0	0	0	0
100	1	1825.0	1	5	0.0006023307581511064	1	0.029173759329579677	0.3744551828690544	0	1	0	1	0	2014	5	29	13.716666666666667	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0
101	1	1825.0	1	6	0.0008380254026450176	1	0.017310462223386145	0.46362430444295144	0	1	0	0	0	2016	1	28	9.083333333333334	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	1	0	0	0
102	0	14.0	0	7	0.2858714154772817	0	0.017650910043210684	0.058418178372697985	0	1	1	0	0	2013	10	16	7.833333333333333	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0
103	0	14.0	0	7	0.2858714154772817	0	0.08550477936362445	0.19926955742760177	0	1	1	1	0	2015	7	26	11.666666666666666	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1
104	0	1460.0	1	5	0.00013094146916328402	0	0.012413251276679324	0.009767946663910279	0	1	1	1	0	2014	1	30	10.683333333333334	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0
105	1	1460.0	1	6	0.00018331805682859762	1	0.029173759329579677	0.3744551828690544	0	1	0	0	0	2015	4	8	15.1	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	1	0	0	0	0
106	0	60.0	1	5	0.0010213434594736153	0	0.0617781851512374	0.1645218529812049	1	1	1	1	0	2015	7	19	15.45	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1
107	1	730.0	1	6	0.0011522849286368993	1	0.025821657718999608	0.27462228883490963	0	1	0	1	0	2013	12	20	8.033333333333333	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0
108	1	730.0	1	8	2.61882938326568e-05	0	0.03490899567893152	0.2991024514617465	0	1	0	0	0	2014	3	23	14.716666666666667	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	1
109	1	3285.0	1	8	0.0004190127013225088	1	0.016341495351577844	0.3637914104088067	0	1	0	0	0	2014	3	29	7.433333333333334	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	1	0
110	1	1825.0	1	5	7.85648814979704e-05	0	0.02794290951944481	0.022137233621031233	0	1	0	0	0	2014	2	11	14.266666666666667	0	0	0	0	0	0	1	0	1	0	1	0	0	0	1	0	0	0	0	0
111	1	365.0	1	3	7.85648814979704e-05	1	0.0006285190519837632	0.3062690578324461	0	0	0	1	0	2013	12	6	12.883333333333333	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	1	0	0
112	1	730.0	1	4	0.0012308498101348698	1	0.003980620662563834	0.3041845401140455	0	1	0	0	0	2013	10	20	12.616666666666667	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	1
113	0	21.0	0	7	0.2858714154772817	0	0.0617781851512374	0.1645218529812049	1	1	1	1	0	2014	5	6	11.983333333333333	0	0	1	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0
114	1	150.0	1	4	0.0006023307581511064	1	0.020191174544978395	0.46362430444295144	0	1	0	0	0	2015	7	6	12.8	0	0	0	0	0	1	0	0	1	0	0	1	0	1	0	0	0	0	0	0
115	0	2190.0	0	7	0.2858714154772817	0	0.031085504779363626	0.034713249608076216	1	1	1	1	0	2015	1	26	13.383333333333333	0	0	1	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0
116	1	365.0	1	5	0.0009427785779756449	0	0.02383134738771769	0.07535273140730787	0	1	0	1	0	2014	3	22	11.633333333333333	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0
117	1	90.0	1	5	0.00018331805682859762	1	0.10587927196543145	0.4983720088893483	0	1	0	1	0	2015	11	4	21.0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0
118	0	30.0	1	7	7.85648814979704e-05	0	0.01859368862118633	0.013816390166589143	0	1	1	0	1	2015	10	24	15.483333333333333	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	1	0
119	1	1095.0	1	4	0.0006285190519837632	0	0.02343852298022784	0.1645218529812049	0	1	0	1	0	2015	5	3	13.983333333333333	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1
120	1	1825.0	1	5	5.23765876653136e-05	0	0.08550477936362445	0.19926955742760177	0	1	0	0	0	2014	4	14	13.0	0	0	0	0	0	0	1	0	1	0	1	0	0	1	0	0	0	0	0	0
121	1	2920.0	1	5	0.00034044781982453846	0	0.08550477936362445	0.19926955742760177	0	0	0	0	0	2014	5	26	7.366666666666666	0	0	0	0	0	0	1	0	1	0	1	0	0	1	0	0	0	0	0	0
122	1	60.0	0	7	0.2858714154772817	1	0.10587927196543145	0.4983720088893483	0	1	0	0	0	2014	9	21	10.25	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1
123	0	2555.0	0	7	0.2858714154772817	0	0.02016498625114574	0.015125674022774649	0	1	1	1	0	2014	11	14	8.95	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0
124	0	60.0	1	7	0.00026188293832656804	0	0.08550477936362445	0.19926955742760177	0	1	1	1	0	2014	10	3	14.716666666666667	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0
125	1	1825.0	1	7	0.0011260966348042424	0	0.08550477936362445	0.19926955742760177	0	0	0	0	0	2014	9	11	13.05	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	1	0	0	0
